node_id,tipo,etiqueta,grado,grado_ponderado,canal,categoria,visualizaciones,handle
v:ZNwStkzWgso,video,Elección judicial en Guatemala: Astrid Lemus y Luis Bermejo electos para corte de constitucionalidad,0,0,CNN en Español,News & Politics,24636,
v:ZPBiWdHXg20,video,Piloto de tráiler accidentado en ruta al Atlántico era un menor y murió en el lugar,0,0,PrensaLibreOficial,News & Politics,233632,
v:ZS74P3DnykA,video,"Policía Nacional Civil gradúa 3,978 nuevos agentes",0,0,PNCdeGuatemala,News & Politics,115270,
v:Z_pWnOi7oRw,video,#EnVivoDCA | Conferencia de prensa del Gobierno de Guatemala,0,0,Diario de Centro América,News & Politics,1329,
v:ZhrDgVZkhg4,video,FORMACION BRIGADA DE PROVIAL,0,0,PROVIAL GUATEMALA,People & Blogs,4419,
v:_1VIxOLyaUQ,video,Sonido de trafico y ciudad 💤 ruido de calle para dormir bebés y relajarse,0,0,Ambient Sound Explorer,Entertainment,330057,
v:_3kK0or6QI0,video,PROVIAL guatemala,0,0,heto009,News & Politics,2054,
v:_Lcbi4NCHRA,video,Tercer Informe General de la República,0,0,Gobierno de Guatemala,News & Politics,305269,
v:_NSq2q0mzCY,video,42K y 21K MuniGuate 🏃🏻🏃🏻‍♀️,0,0,Municipalidad de Guatemala,News & Politics,47,
v:_cUZT7LMKE0,video,Conferencia de Prensa del Gobierno de Guatemala. #LaRondaGt,0,0,Gobierno de la República de Guatemala,Entertainment,2708,
v:a2zgl-1KZwY,video,#CadenaNacional | Mensaje del Presidente Bernardo Arévalo a la nación,0,0,Gobierno de la República de Guatemala,Entertainment,2334,
v:a3QGSpNx9Mg,video,Guatemala ya no aguanta el tráfico… ¿Funcionará el Aerómetro?,0,0,Entre Caminos,Travel & Events,8098,
v:a6QFfhpY53g,video,Provial Informa,0,0,PROVIAL-CIV,People & Blogs,49,
v:aRKgOSxgsF0,video,@GobiernodeGuatemala,0,0,luis arturo ceberg ulban,People & Blogs,2,
v:aSbvMYJhmCc,video,Policía Nacional Civil,0,0,Ministerio de Gobernación,News & Politics,4346,
v:a_kAe9IhBbo,video,Tráiler impacta pasarela en Aguilar Batres y provoca cierre parcial hacia la capital,0,0,PrensaLibreOficial,News & Politics,255,
v:ahicr7fQREY,video,Conred Podcast Episodio 9: Servidores Cívicos construyendo una cultura de prevención,0,0,Conred,Education,65,
v:almmnboHkwM,video,Se mueve Guate 🚌,0,0,Municipalidad de Guatemala,News & Politics,297,
v:anFbrgqxdzY,video,Horas Antes del Big One | Dentro de Ciudad de Guatemala Exactamente Antes del Terremoto (1976),0,0,Nostalgia Latina,People & Blogs,222656,
v:aoz2j4TTl4E,video,Rutas Alternas a partir del lunes 03 de agosto por avances de #AeroMetroGT,0,0,Municipalidad de Guatemala,News & Politics,8905,
v:bBz8nX4pMxc,video,Conred e Insivumeh informan sobre sismos en Guatemala este 31 de julio,0,0,Guatevisión,Entertainment,1115,
v:bMoENbSBSNs,video,¿Por qué Guatemala es una República? El decreto del 21 de marzo de 1847 y Rafael Carrera,0,0,El profe de Historia Gt,Education,1134,
v:b_Hkrkl3adA,video,Bloqueos en Guatemala este 31 de agosto por alza en combustibles afectan rutas principales,7,7,PrensaLibreOficial,News & Politics,5469,
v:bg1KCMaIrRM,video,"¡Atención, vecinos!",0,0,Municipalidad de Guatemala,News & Politics,1965,
v:bzosgvntOXU,video,Municipalidad de Guatemala 05/09/2025,0,0,Concejales de Oposición - Muni Guate,People & Blogs,160,
v:cl3Rpw9MstQ,video,Municipalidad de Guatemala sigue trabajando,0,0,Municipalidad de Guatemala,News & Politics,484,
